Orientation,WWR,Angle,Shading Type,sDA,BlindClosed,Heating Penalty,Cooling Benefit,Total Energy
E,30,35,Eggcrate,0.35832,0.18274,-0.4592013888888889,-0.19415207851080252,-0.6353151854066292
E,30,40,Eggcrate,0.35418,0.147945,-0.4467881944444445,-0.2256341628086418,-0.653857606771475
E,30,45,Eggcrate,0.32916,0.123014,-0.43437500000000007,-0.25711624710648107,-0.6724000281363208
E,30,5,Horizontal,0.34998,0.354247,-0.5692708333333334,0.10721088927469133,-0.44930303989495823
E,30,10,Horizontal,0.39168,0.330137,-0.5570312500000001,0.06215036651234551,-0.48121783373779364
E,30,15,Horizontal,0.40836,0.303836,-0.5447916666666668,0.017089843749999684,-0.513132627580629
E,30,20,Horizontal,0.44166,0.28274,-0.5327256944444445,-0.02067660108024712,-0.5381235418938096
E,30,25,Horizontal,0.45414,0.244658,-0.5206597222222223,-0.05844304591049393,-0.5631144562069903
E,30,30,Horizontal,0.46668,0.217534,-0.5085937500000001,-0.09620949074074074,-0.5881053705201709
E,30,35,Horizontal,0.49584,0.192329,-0.49652777777777785,-0.1278121383101851,-0.6071026623993253
E,30,40,Horizontal,0.50418,0.162466,-0.4844618055555556,-0.15941478587962946,-0.6260999542784798
E,30,45,Horizontal,0.54168,0.130137,-0.4723958333333334,-0.19101743344907382,-0.6450972461576342
E,30,0,No Shade,0.31248,0.388767,-0.5815104166666667,0.15227141203703715,-0.4173882460521228
E,30,5,Vertical,0.30414,0.388767,-0.5706597222222223,0.13038917824074045,-0.42811521823233634
E,30,10,Vertical,0.29166,0.388767,-0.5598090277777777,0.10850694444444375,-0.4388421904125499
E,30,15,Vertical,0.28332,0.388767,-0.5489583333333333,0.08662471064814706,-0.4495691625927634
E,30,20,Vertical,0.27918,0.384932,-0.5416666666666666,0.07217218846450556,-0.4565323157364106
E,30,25,Vertical,0.2625,0.384932,-0.534375,0.057719666280864064,-0.46349546888005777
E,30,30,Vertical,0.2625,0.379452,-0.5270833333333333,0.04326714409722257,-0.470458622023705
E,30,35,Vertical,0.27084,0.369863,-0.5214409722222223,0.032476731288580585,-0.4754645423744711
E,30,40,Vertical,0.27498,0.367671,-0.5157986111111111,0.021686318479938592,-0.4804704627252373
E,30,45,Vertical,0.27084,0.364658,-0.5101562500000001,0.010895905671296604,-0.48547638307600344
E,35,5,Eggcrate,0.37086,0.367123,-0.5073784722222223,0.14517324942129622,-0.3522051841170476
E,35,10,Eggcrate,0.40002,0.345205,-0.4819444444444445,0.07369429976851863,-0.39697886258924525
E,35,15,Eggcrate,0.42498,0.311507,-0.45651041666666675,0.002215350115741042,-0.4417525410614429
E,35,20,Eggcrate,0.43332,0.283836,-0.4380208333333334,-0.047577281057098596,-0.4721913504261484
E,35,25,Eggcrate,0.44166,0.244932,-0.4195312500000001,-0.09736991222993822,-0.5026301597908539
E,35,30,Eggcrate,0.43752,0.221644,-0.40104166666666674,-0.14716254340277787,-0.5330689691555593
E,35,35,Eggcrate,0.42498,0.184658,-0.38619791666666675,-0.18322603202160495,-0.5537028570088752
E,35,40,Eggcrate,0.43752,0.152603,-0.37135416666666676,-0.219289520640432,-0.5743367448621912
E,35,45,Eggcrate,0.40416,0.126849,-0.3565104166666668,-0.2553530092592591,-0.5949706327155071
E,35,5,Horizontal,0.38334,0.367123,-0.5183159722222223,0.16455379533178996,-0.34399524027245393
E,35,10,Horizontal,0.40836,0.345205,-0.5038194444444445,0.11245539158950611,-0.38055897490005797
E,35,15,Horizontal,0.47082,0.311507,-0.48932291666666666,0.06035698784722226,-0.41712270952766195
E,35,20,Horizontal,0.49164,0.290411,-0.47500000000000003,0.017014491705246985,-0.44534109426839746
E,35,25,Horizontal,0.53334,0.252877,-0.46067708333333335,-0.026328004436728288,-0.47355947900913303
E,35,30,Horizontal,0.54998,0.223288,-0.4463541666666667,-0.06967050057870355,-0.5017778637498685
E,35,35,Horizontal,0.55836,0.203014,-0.4321180555555556,-0.10568877797067888,-0.5229586513323724
E,35,40,Horizontal,0.55832,0.167123,-0.41788194444444443,-0.1417070553626542,-0.5441394389148764
E,35,45,Horizontal,0.60834,0.132329,-0.4036458333333333,-0.1777253327546295,-0.5653202264973802
E,35,0,No Shade,0.35418,0.395616,-0.5328125,0.21665219907407382,-0.30743150564484995
E,35,5,Vertical,0.35418,0.395616,-0.5198784722222223,0.19098729263117253,-0.31981090047949046
E,35,10,Vertical,0.3375,0.395616,-0.5069444444444444,0.16532238618827128,-0.33219029531413097
E,35,15,Vertical,0.31248,0.395616,-0.4940104166666667,0.13965747974537,-0.3445696901487715
E,35,20,Vertical,0.32082,0.393425,-0.48515625,0.12295946662808618,-0.3521969776902431
E,35,25,Vertical,0.30834,0.387945,-0.47630208333333335,0.10626145351080239,-0.3598242652317148
E,35,30,Vertical,0.32502,0.381096,-0.4674479166666667,0.0895634403935186,-0.3674515527731864
E,35,35,Vertical,0.31248,0.375068,-0.4604166666666667,0.07667824074074098,-0.3731438821088174
E,35,40,Vertical,0.32082,0.370685,-0.4533854166666667,0.06379304108796335,-0.3788362114444484
E,35,45,Vertical,0.31668,0.368219,-0.4463541666666667,0.050907841435185716,-0.38452854078007936
E,40,5,Eggcrate,0.41664,0.372329,-0.4506944444444444,0.1974524980709877,-0.24625024912367105
E,40,10,Eggcrate,0.44166,0.349041,-0.42065972222222225,0.11436933352623443,-0.29783408949694645
E,40,15,Eggcrate,0.47916,0.316438,-0.39062500000000006,0.03128616898148117,-0.3494179298702219
E,40,20,Eggcrate,0.4875,0.283836,-0.36892361111111116,-0.025288146219136186,-0.38332805777324547
E,40,25,Eggcrate,0.525,0.249589,-0.3472222222222222,-0.08186246141975353,-0.4172381856762691
E,40,30,Eggcrate,0.4875,0.226027,-0.3255208333333333,-0.1384367766203709,-0.45114831357929264
E,40,35,Eggcrate,0.4875,0.199178,-0.3079861111111111,-0.17846378279321018,-0.47301961336006365
E,40,40,Eggcrate,0.47916,0.156164,-0.2904513888888889,-0.21849078896604945,-0.4948909131408346
E,40,45,Eggcrate,0.46668,0.136712,-0.2729166666666667,-0.25851779513888873,-0.5167622129216056
E,40,5,Horizontal,0.42918,0.372329,-0.46388888888888885,0.22139937789351846,-0.23579467520135086
E,40,10,Horizontal,0.46248,0.349041,-0.44704861111111116,0.16226309317129595,-0.27692294165230613
E,40,15,Horizontal,0.52914,0.316438,-0.4302083333333334,0.10312680844907339,-0.3180512081032614
E,40,20,Horizontal,0.55002,0.294247,-0.41362847222222227,0.054298683449073466,-0.3494091372700745
E,40,25,Horizontal,0.60834,0.263836,-0.39704861111111117,0.005470558449073543,-0.3807670664368876
E,40,30,Horizontal,0.6167,0.226027,-0.38046875,-0.04335756655092639,-0.41212499560370075
E,40,35,Horizontal,0.62502,0.209589,-0.36406250000000007,-0.0835654176311733,-0.4352694638858612
E,40,40,Horizontal,0.64584,0.172603,-0.34765625000000006,-0.1237732687114202,-0.4584139321680217
E,40,45,Horizontal,0.66248,0.140548,-0.3312500000000001,-0.1639811197916671,-0.4815584004501821
E,40,0,No Shade,0.39582,0.402466,-0.4807291666666666,0.280535662615741,-0.19466640875039562
E,40,5,Vertical,0.375,0.402466,-0.46527777777777773,0.24870695891203726,-0.21059156613793834
E,40,10,Vertical,0.37086,0.402466,-0.44982638888888893,0.21687825520833354,-0.22651672352548108
E,40,15,Vertical,0.37086,0.402466,-0.43437500000000007,0.1850495515046298,-0.2424418809130238
E,40,20,Vertical,0.37086,0.400822,-0.42361111111111116,0.1646442177854938,-0.25181713736386163
E,40,25,Vertical,0.34998,0.394247,-0.4128472222222223,0.14423888406635776,-0.2611923938146995
E,40,30,Vertical,0.35832,0.382466,-0.4020833333333334,0.12383355034722177,-0.2705676502655373
E,40,35,Vertical,0.37086,0.380822,-0.3933159722222223,0.10800962094907388,-0.2774293954208144
E,40,40,Vertical,0.37086,0.376164,-0.3845486111111112,0.092185691550926,-0.2842911405760915
E,40,45,Vertical,0.36252,0.366849,-0.3757812500000001,0.07636176215277811,-0.2911528857313686
E,45,5,Eggcrate,0.45834,0.37863,-0.39813368055555554,0.2670928578317903,-0.12742294751403893
E,45,10,Eggcrate,0.50418,0.351507,-0.36866319444444445,0.1898118007330249,-0.173913527708414
E,45,15,Eggcrate,0.53748,0.320274,-0.33919270833333337,0.11253074363425947,-0.22040410790278914
E,45,20,Eggcrate,0.54168,0.290685,-0.30972222222222223,0.03524968653549404,-0.2668946880971642
E,45,25,Eggcrate,0.54998,0.262466,-0.2802517361111111,-0.042031370563271386,-0.3133852682915393
E,45,30,Eggcrate,0.54582,0.230411,-0.25078125,-0.11931242766203684,-0.3598758484859144
E,45,35,Eggcrate,0.53748,0.210959,-0.27569444444444446,-0.05661952642746877,-0.32313919272207176
E,45,40,Eggcrate,0.52914,0.15726,-0.30060763888888886,0.0060733748070992966,-0.2864025369582291
E,45,45,Eggcrate,0.4875,0.137808,-0.3255208333333333,0.06876627604166735,-0.2496658811943864
E,45,5,Horizontal,0.46668,0.37863,-0.40842013888888895,0.278290171682099,-0.12653723959249233
E,45,10,Horizontal,0.52086,0.351507,-0.3892361111111112,0.21220642843364224,-0.17214211186532086
E,45,15,Horizontal,0.57084,0.322192,-0.3700520833333335,0.14612268518518548,-0.21774698413814939
E,45,20,Horizontal,0.61248,0.298904,-0.3514756944444446,0.09197470582561741,-0.25233648694591987
E,45,25,Horizontal,0.64584,0.274795,-0.33289930555555564,0.03782672646604934,-0.2869259897536903
E,45,30,Horizontal,0.68752,0.230411,-0.31432291666666673,-0.01632125289351871,-0.32151549256146084
E,45,35,Horizontal,0.68332,0.210959,-0.29557291666666674,-0.06050769193672863,-0.3462496629503283
E,45,40,Horizontal,0.69584,0.175342,-0.2768229166666667,-0.10469413097993854,-0.37098383333919577
E,45,45,Horizontal,0.71248,0.14411,-0.2580729166666667,-0.14888057002314845,-0.3957180037280632
E,45,0,No Shade,0.4125,0.416438,-0.4276041666666667,0.34437391493055575,-0.08093236731966381
E,45,5,Vertical,0.39582,0.416438,-0.4127604166666667,0.3159435884452161,-0.09414383521494993
E,45,10,Vertical,0.39582,0.412603,-0.3979166666666667,0.2875132619598765,-0.10735530311023603
E,45,15,Vertical,0.39168,0.410959,-0.38307291666666665,0.25908293547453687,-0.12056677100552213
E,45,20,Vertical,0.39582,0.404384,-0.36822916666666666,0.2306526089891972,-0.13377823890080826
E,45,25,Vertical,0.39582,0.394247,-0.3533854166666667,0.20222228250385757,-0.14698970679609435
E,45,30,Vertical,0.40002,0.393425,-0.3385416666666667,0.17379195601851793,-0.16020117469138045
E,45,35,Vertical,0.37914,0.392055,-0.35078125,0.19627700617283908,-0.15023857255067527
E,45,40,Vertical,0.39168,0.379726,-0.36302083333333335,0.21876205632716025,-0.14027597040997006
E,45,45,Vertical,0.40416,0.368493,-0.37526041666666665,0.2412471064814814,-0.13031336826926487
E,50,5,Eggcrate,0.49998,0.384384,-0.33645833333333347,0.3091995804398151,-0.026506172405303674
E,50,10,Eggcrate,0.53334,0.352055,-0.2986979166666668,0.2095088252314815,-0.0867266908170087
E,50,15,Eggcrate,0.5625,0.327945,-0.26093750000000016,0.10981807002314793,-0.14694720922871374
E,50,20,Eggcrate,0.57918,0.295616,-0.23307291666666677,0.04112714602623456,-0.18664638506899295
E,50,25,Eggcrate,0.59164,0.264658,-0.20520833333333338,-0.027563777970678813,-0.22634556090927216
E,50,30,Eggcrate,0.6,0.233973,-0.17734374999999997,-0.09625470196759217,-0.26604473674955137
E,50,35,Eggcrate,0.5708,0.203014,-0.15477430555555555,-0.14562536168981433,-0.29210600358738065
E,50,40,Eggcrate,0.59164,0.163288,-0.13220486111111113,-0.19499602141203648,-0.31816727042521
E,50,45,Eggcrate,0.55416,0.139178,-0.10963541666666674,-0.24436668113425863,-0.34422853726303926
E,50,5,Horizontal,0.50832,0.384384,-0.35286458333333337,0.33576871141975356,-0.01662387601261415
E,50,10,Horizontal,0.5708,0.352055,-0.3315104166666667,0.26264708719135843,-0.06696209803162965
E,50,15,Horizontal,0.59998,0.327945,-0.31015624999999997,0.18952546296296327,-0.11730032005064517
E,50,20,Horizontal,0.63752,0.303836,-0.2893229166666666,0.13011791087962993,-0.1548095522808003
E,50,25,Horizontal,0.68332,0.280822,-0.2684895833333332,0.07071035879629661,-0.19231878451095538
E,50,30,Horizontal,0.72084,0.233973,-0.24765624999999988,0.011302806712963284,-0.22982801674111047
E,50,35,Horizontal,0.72916,0.213425,-0.22682291666666654,-0.03674165702160455,-0.2562878814523028
E,50,40,Horizontal,0.74168,0.179452,-0.2059895833333332,-0.08478612075617238,-0.2827477461634952
E,50,45,Horizontal,0.76248,0.145479,-0.18515624999999986,-0.1328305844907402,-0.3092076108746875
E,50,0,No Shade,0.44166,0.419452,-0.3742187500000001,0.4088903356481487,0.03371434600640136
E,50,5,Vertical,0.4125,0.419452,-0.3551215277777779,0.3734447337962969,0.017817324939331455
E,50,10,Vertical,0.44166,0.411507,-0.3360243055555556,0.33799913194444503,0.0019203038722615529
E,50,15,Vertical,0.42498,0.409863,-0.3169270833333334,0.3025535300925932,-0.013976717194808353
E,50,20,Vertical,0.43332,0.401644,-0.3032986111111112,0.27821481963734596,-0.02439125898310638
E,50,25,Vertical,0.44166,0.39726,-0.2896701388888891,0.2538761091820987,-0.034805800771404403
E,50,30,Vertical,0.43332,0.393425,-0.2760416666666669,0.22953739872685144,-0.04522034255970243
E,50,35,Vertical,0.43752,0.387397,-0.2644965277777779,0.20981023341049357,-0.053176473346698505
E,50,40,Vertical,0.44166,0.377808,-0.25295138888888885,0.1900830680941357,-0.061132604133694576
E,50,45,Vertical,0.43752,0.374521,-0.24140624999999985,0.17035590277777782,-0.06908873492069065
E,55,5,Eggcrate,0.525,0.38,-0.2796006944444444,0.36306122202932056,0.08115628553675856
E,55,10,Eggcrate,0.54168,0.351507,-0.23758680555555553,0.2518566743827158,0.013875895379781428
E,55,15,Eggcrate,0.60834,0.318082,-0.19557291666666665,0.140652126736111,-0.05340449477719569
E,55,20,Eggcrate,0.62918,0.280548,-0.16440972222222217,0.06572205343364182,-0.09596302418551236
E,55,25,Eggcrate,0.63752,0.249589,-0.1332465277777777,-0.009208019868827355,-0.13852155359382903
E,55,30,Eggcrate,0.63752,0.21863,-0.10208333333333322,-0.08413809317129649,-0.18108008300214573
E,55,35,Eggcrate,0.61248,0.196164,-0.07630208333333327,-0.1373517071759261,-0.20775507333028562
E,55,40,Eggcrate,0.6125,0.152603,-0.05052083333333331,-0.19056532118055572,-0.23443006365842547
E,55,45,Eggcrate,0.5833,0.130137,-0.024739583333333356,-0.24377893518518534,-0.26110505398656536
E,55,5,Horizontal,0.54168,0.38,-0.29817708333333337,0.39406105324074014,0.09323673196637652
E,55,10,Horizontal,0.60002,0.351507,-0.27473958333333337,0.3138563368055549,0.038036788239017336
E,55,15,Horizontal,0.64168,0.322192,-0.2513020833333334,0.23365162037036966,-0.017163155488341856
E,55,20,Horizontal,0.69584,0.295616,-0.22838541666666673,0.16907491801697488,-0.057673009062240474
E,55,25,Horizontal,0.74168,0.263836,-0.20546875,0.10449821566358009,-0.0981828626361391
E,55,30,Horizontal,0.76248,0.226027,-0.1825520833333333,0.03992151331018531,-0.13869271621003773
E,55,35,Horizontal,0.76668,0.204384,-0.1596354166666667,-0.01184534143518489,-0.16674638624133928
E,55,40,Horizontal,0.79168,0.167123,-0.1367187500000001,-0.06361219618055508,-0.19480005627264083
E,55,45,Horizontal,0.78332,0.132329,-0.11380208333333351,-0.11537905092592526,-0.22285372630394237
