id,displayName,primaryTypeDisplayName,primaryType,types,rating,userRatingCount,location,shortFormattedAddress,priceRange,priceLevel,googleMapsUri,websiteUri,businessStatus,summaryType,takeaway
ChIJ0x8b0F8FdkgR6_BkIm53B6c,Slab City Pizza,Pizza Restaurant,pizza_restaurant,"['pizza_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.9,403.0,"{'latitude': 51.461858899999996, 'longitude': -0.1389673}","8 The Pavement, London","{'startPrice': {'currencyCode': 'GBP', 'units': '1'}, 'endPrice': {'currencyCode': 'GBP', 'units': '10'}}",,https://maps.google.com/?cid=12035719844078088427&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.slabcitypizza.co.uk/,OPERATIONAL,Pizza,Dine-In
ChIJIcW6ek0EdkgRVDpPTHElR0M,Joe Public,Pizza Restaurant,pizza_restaurant,"['pizza_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.4,602.0,"{'latitude': 51.46178080000001, 'longitude': -0.1384456}","4 The Pavement, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=4847884692429421140&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,http://www.joepublicpizza.com/,OPERATIONAL,Pizza,Dine-In
ChIJO2qIi44FdkgRW3MeEaxNqns,Red Vine Restaurant & Cocktail Lounge & Late Bar 🍸✨,Restaurant,restaurant,"['pizza_restaurant', 'cocktail_bar', 'japanese_curry_restaurant', 'japanese_restaurant', 'restaurant', 'food', 'bar', 'point_of_interest', 'establishment']",4.8,767.0,"{'latitude': 51.4615284, 'longitude': -0.13805199999999998}","9 Clapham Common South Side, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://maps.google.com/?cid=8911020214122869595&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.redvinerestaurant.com/,OPERATIONAL,Pizza,Dine-In
ChIJAZ4YX4IFdkgRKdBfvvAjXf8,Bird and Tie,Chicken Restaurant,chicken_restaurant,"['chicken_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.5,213.0,"{'latitude': 51.462020599999995, 'longitude': -0.1384192}","3 The Pavement, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://maps.google.com/?cid=18400903169398788137&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,http://birdandtie.com/,CLOSED_TEMPORARILY,Fast Food,Dine-In
ChIJBdlUck0EdkgRI0XdXGvbBMA,Gizel Kebab Bar,Kebab Shop,kebab_shop,"['kebab_shop', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.2,100.0,"{'latitude': 51.461254, 'longitude': -0.1383642}","15 Clapham Common South Side, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://maps.google.com/?cid=13836425209354994979&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,OPERATIONAL,Middle Eastern,Dine-In
ChIJd2dXxlEEdkgREP3bxuLAR88,Nando's Clapham - High Street,Restaurant,restaurant,"['restaurant', 'portuguese_restaurant', 'chicken_restaurant', 'meal_delivery', 'food_delivery', 'point_of_interest', 'service', 'food', 'establishment']",4.0,926.0,"{'latitude': 51.4634959, 'longitude': -0.13293939999999999}","59-63 Clapham High St, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=14936118769428987152&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.nandos.co.uk/restaurants/clapham-high-street?utm_campaign=websitecta_NA&utm_content=Multi-Chan_GB_NA_NA_NA_all_NA_NA_clapham-high-street&utm_medium=mybusiness&utm_source=google&utm_term=Local,OPERATIONAL,European,Dine-In
ChIJSQ6TFGQFdkgRkSA7jXxkoV4,Sweetsmile bakery and patisserie,Brunch Restaurant,brunch_restaurant,"['brunch_restaurant', 'cake_shop', 'cocktail_bar', 'coffee_shop', 'pastry_shop', 'cafe', 'breakfast_restaurant', 'bakery', 'dessert_shop', 'confectionery', 'wholesaler', 'bar', 'food_store', 'restaurant', 'food', 'point_of_interest', 'manufacturer', 'store', 'establishment']",4.7,310.0,"{'latitude': 51.4660462, 'longitude': -0.15213649999999998}","31 Lavender Hill, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://maps.google.com/?cid=6818841796923826321&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.ssmile.co.uk/about,OPERATIONAL,Brunch & Breakfast,Dine-In
ChIJl4WCBhgFdkgRas8rMj23rbI,Bui Vien Restaurant,Vietnamese Restaurant,vietnamese_restaurant,"['vietnamese_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.6,442.0,"{'latitude': 51.4660812, 'longitude': -0.1522077}","33 Lavender Hill, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://maps.google.com/?cid=12875148383184736106&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://buivienlondon.co.uk/,OPERATIONAL,Vietnamese,Dine-In
ChIJteAyYakFdkgRdIe1hOY_TDs,Lavender Hill Fish & Chips,Fish & Chips Restaurant,fish_and_chips_restaurant,"['fish_and_chips_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.1,309.0,"{'latitude': 51.466102299999996, 'longitude': -0.1518574}","fish and chips, 23 Lavender Hill, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://maps.google.com/?cid=4272860405769275252&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,OPERATIONAL,Seafood,Dine-In
ChIJaTa0CJUFdkgRfgG4e8BH728,"Chicken world , Lavender Hill",Restaurant,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.5,37.0,"{'latitude': 51.4661019, 'longitude': -0.151782}","21 Lavender Hill, London","{'startPrice': {'currencyCode': 'GBP', 'units': '1'}, 'endPrice': {'currencyCode': 'GBP', 'units': '10'}}",,https://maps.google.com/?cid=8065744349678797182&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,OPERATIONAL,Fast Food,Dine-In
