id,displayName,primaryTypeDisplayName,primaryType,types,rating,userRatingCount,location,shortFormattedAddress,priceRange,priceLevel,googleMapsUri,websiteUri,businessStatus,summaryType,takeaway,wilson_score,wilson_quantile
ChIJaTa0CJUFdkgRfgG4e8BH728,"Chicken world , Lavender Hill",Restaurant,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.5,37.0,"{'latitude': 51.4661019, 'longitude': -0.151782}","21 Lavender Hill, London","{'startPrice': {'currencyCode': 'GBP', 'units': '1'}, 'endPrice': {'currencyCode': 'GBP', 'units': '10'}}",,https://maps.google.com/?cid=8065744349678797182&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,OPERATIONAL,Fast Food,Dine-In,0.7323395634282744,0.4228571428571429
ChIJ1d1uIEIFdkgRzZTYcVu4GTU,Shake Shack Clapham,Hamburger Restaurant,hamburger_restaurant,"['hamburger_restaurant', 'fast_food_restaurant', 'hot_dog_restaurant', 'american_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.1,381.0,"{'latitude': 51.462281, 'longitude': -0.1376508}","188 Clapham High St, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=3826292061319501005&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.shakeshack.co.uk/locations/clapham/?utm_source=gmb&utm_medium=organic&utm_campaign=clapham,OPERATIONAL,Burgers,Dine-In,0.7304434206121335,0.41714285714285715
ChIJY9IfdEsEdkgRxOto48I4BRw,Pizza Hut Clapham,Takeout Restaurant,meal_takeaway,"['pizza_restaurant', 'pizza_delivery', 'meal_delivery', 'food_delivery', 'meal_takeaway', 'fast_food_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.1,369.0,"{'latitude': 51.4552, 'longitude': -0.1393}","75 Abbeville Rd, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=2019082417635650500&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.pizzahut.co.uk/,OPERATIONAL,Pizza,Takeaway Only,0.729684593955724,0.4114285714285714
ChIJ7Zyh9_gEdkgRZJGEzIctdgY,Peri Peri Chicken Bites,Takeout Restaurant,meal_takeaway,"['fast_food_restaurant', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.2,148.0,"{'latitude': 51.4748247, 'longitude': -0.13225299999999998}","242 Wandsworth Rd, London","{'startPrice': {'currencyCode': 'GBP', 'units': '1'}, 'endPrice': {'currencyCode': 'GBP', 'units': '10'}}",,https://maps.google.com/?cid=465609672754499940&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,OPERATIONAL,Fast Food,Takeaway Only,0.7283349022350476,0.4057142857142857
ChIJteAyYakFdkgRdIe1hOY_TDs,Lavender Hill Fish & Chips,Fish & Chips Restaurant,fish_and_chips_restaurant,"['fish_and_chips_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.1,309.0,"{'latitude': 51.466102299999996, 'longitude': -0.1518574}","fish and chips, 23 Lavender Hill, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://maps.google.com/?cid=4272860405769275252&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,OPERATIONAL,Seafood,Dine-In,0.725226147070018,0.4
ChIJdXCQr30FdkgRfWXr867jPTA,Martine's Bar & Grill,Restaurant,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",5.0,10.0,"{'latitude': 51.4601465, 'longitude': -0.1354272}","56 Clapham Park Rd, London",,,https://maps.google.com/?cid=3476184827955996029&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://martinesbar.co.uk/,OPERATIONAL,Restaurant,Dine-In,0.7224598312333834,0.3914285714285714
ChIJS6MJFrgFdkgRAVBofiU7pqs,Afro Cabbana,African Restaurant,african_restaurant,"['african_restaurant', 'catering_service', 'meal_delivery', 'food_delivery', 'restaurant', 'point_of_interest', 'service', 'food', 'establishment']",5.0,10.0,"{'latitude': 51.474875499999996, 'longitude': -0.1403854}","Lindford Street Business Estate, 76 Stewart's Rd, London",,,https://maps.google.com/?cid=12368638458840240129&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.afrocabbana.com/,OPERATIONAL,African,Dine-In,0.7224598312333834,0.3914285714285714
ChIJd2dXxlEEdkgREP3bxuLAR88,Nando's Clapham - High Street,Restaurant,restaurant,"['restaurant', 'portuguese_restaurant', 'chicken_restaurant', 'meal_delivery', 'food_delivery', 'point_of_interest', 'service', 'food', 'establishment']",4.0,926.0,"{'latitude': 51.4634959, 'longitude': -0.13293939999999999}","59-63 Clapham High St, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=14936118769428987152&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.nandos.co.uk/restaurants/clapham-high-street?utm_campaign=websitecta_NA&utm_content=Multi-Chan_GB_NA_NA_NA_all_NA_NA_clapham-high-street&utm_medium=mybusiness&utm_source=google&utm_term=Local,OPERATIONAL,European,Dine-In,0.7211154774774865,0.38285714285714284
ChIJqxIDTvgEdkgRnWknDFPgLvc,Dallas Peri Peri,Restaurant,restaurant,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.2,119.0,"{'latitude': 51.4750148, 'longitude': -0.1315811}","355 Wandsworth Rd, London","{'startPrice': {'currencyCode': 'GBP', 'units': '1'}, 'endPrice': {'currencyCode': 'GBP', 'units': '10'}}",PRICE_LEVEL_INEXPENSIVE,https://maps.google.com/?cid=17811420223587707293&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://dallasperiperi.co.uk/hXPy,OPERATIONAL,Restaurant,Dine-In,0.7192622521586691,0.37714285714285717
ChIJo0YRgisFdkgRIL9Iyj6Zf5g,Fumi Express - Japanese and Korean,Takeout Restaurant,meal_takeaway,"['meal_takeaway', 'japanese_restaurant', 'korean_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.6,23.0,"{'latitude': 51.4552516, 'longitude': -0.13942069999999998}","95 Hambalt Rd, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://maps.google.com/?cid=10988670110768086816&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.fumiexpress.co.uk/Menu,OPERATIONAL,Korean,Takeaway Only,0.7156363015972271,0.37142857142857144
