h3_9,host_seed_tile_id,host_seed_index,host_tile_path_id,center_lat,center_lon
89194ad05bbffff,88194ad05bfffff,339,339,51.46029043338665,-0.00667719598241915
89194ada443ffff,88194ada45fffff,340,340,51.5087779194726,-0.2193822921522311
89194ada447ffff,88194ada45fffff,340,340,51.50626527958978,-0.21641710718850446
89194ada44bffff,88194ada45fffff,340,340,51.50856067983309,-0.2240024306044575
89194ada44fffff,88194ada45fffff,340,340,51.506048104664096,-0.22103693660061902
89194ada453ffff,88194ada45fffff,340,340,51.51150760598409,-0.21772751308033236
89194ada457ffff,88194ada45fffff,340,340,51.508994968624535,-0.21476230124059006
89194ada45bffff,88194ada45fffff,340,340,51.51129049211796,-0.22234781306802265
89194ad2ec3ffff,88194ad2edfffff,341,341,51.4690941722586,0.01213096406715974
89194ad2ec7ffff,88194ad2edfffff,341,341,51.466577834935244,0.015078026802227206
89194ad2ecbffff,88194ad2edfffff,341,341,51.46888536708305,0.0075223528164133895
89194ad2ecfffff,88194ad2edfffff,341,341,51.46636909317516,0.010469725047329442
89194ad2ed3ffff,88194ad2edfffff,341,341,51.47181912305231,0.013792337630630293
89194ad2ed7ffff,88194ad2edfffff,341,341,51.46930278809871,0.016739425397156227
89194ad2edbffff,88194ad2edfffff,341,341,51.47161044379646,0.009183566769056278
89194ada103ffff,88194ada11fffff,342,342,51.469998019761846,-0.1980187694481525
89194ada107ffff,88194ada11fffff,342,342,51.46748469704378,-0.1950570749981283
89194ada10bffff,88194ada11fffff,342,342,51.46978079738963,-0.20263501237119783
89194ada10fffff,88194ada11fffff,342,342,51.46726753915332,-0.1996730092170537
89194ada113ffff,88194ada11fffff,342,342,51.47272837219666,-0.19636439522777444
89194ada117ffff,88194ada11fffff,342,342,51.47021505189187,-0.1934026741051717
89194ada11bffff,88194ada11fffff,342,342,51.472511275584566,-0.2009807993107629
89194e68a03ffff,88194e68a1fffff,343,343,51.53614925247437,0.030641183071104503
89194e68a07ffff,88194e68a1fffff,343,343,51.53363329386914,0.03359042017291719
89194e68a0bffff,88194e68a1fffff,343,343,51.53594264887191,0.026027827735592868
89194e68a0fffff,88194e68a1fffff,343,343,51.533426753802566,0.02897737513047182
89194e68a13ffff,88194e68a1fffff,343,343,51.53887162261264,0.03230512587977902
89194e68a17ffff,88194e68a1fffff,343,343,51.53635566655626,0.03525438792723101
89194e68a1bffff,88194e68a1fffff,343,343,51.5386651449946,0.027691610694739258
89194e68ac3ffff,88194e68adfffff,344,344,51.54390333641778,0.026405595843997338
89194e68ac7ffff,88194e68adfffff,344,344,51.54138751257661,0.02935552853254292
89194e68acbffff,88194e68adfffff,344,344,51.5436967316585,0.021791459952200262
89194e68acfffff,88194e68adfffff,344,344,51.54118097139942,0.02474170300226655
