tile_id,seed_index,tile_path_id,h3_res,level,center_lat,center_lon,tile_size_m,geometry,children,checked,fetch_success,current
88194ad325fffff,20,20,8,0,51.51329598,-0.122393548,531.415,"POLYGON ((-0.1211689494714793 51.51776999100632, -0.1278781214559564 51.51657677751168, -0.129102239577905 51.512102512397384, -0.1236179677558104 51.50882172793671, -0.1169098629679935 51.51001498239984, -0.1156849629172356 51.514488980339976, -0.1211689494714793 51.51776999100632))",0,False,False,False
88194ad335fffff,21,21,8,0,51.49569662,-0.101689761,531.415,"POLYGON ((-0.1004641361207624 51.500170814259164, -0.1071704806419031 51.49897819394648, -0.1083956252177884 51.49450374995465, -0.1029152062350974 51.49122219368838, -0.0962099283729871 51.49241485535092, -0.0949840029460471 51.49688903191476, -0.1004641361207624 51.500170814259164))",0,False,False,False
88195da4dbfffff,22,22,8,0,51.5267173,-0.118719215,531.415,"POLYGON ((-0.117494079727152 51.53119060121826, -0.1242046935356741 51.52999814533331, -0.1254293484729426 51.52552459402137, -0.1199441719038596 51.52224376570438, -0.1132346258149748 51.52343626255041, -0.112009188687221 51.52790954673722, -0.117494079727152 51.53119060121826))",0,False,False,False
88194ad331fffff,23,23,8,0,51.49360705,-0.089504757,531.415,"POLYGON ((-0.0882783522260914 51.4980809772564, -0.0949840029460471 51.49688903191476, -0.0962099283729871 51.49241485535092, -0.0907309836344751 51.48913289164394, -0.0840263995655383 51.490324878522436, -0.0827996936956561 51.49479878755601, -0.0882783522260914 51.4980809772564))",0,False,False,False
88194ad343fffff,24,24,8,0,51.52401629,-0.062020132,531.415,"POLYGON ((-0.0607912110179501 51.528488032494096, -0.0674994189444663 51.52729899455204, -0.0687278596443315 51.522827003040774, -0.0632488730108005 51.51954431701719, -0.0565417330286851 51.520733396758665, -0.0553125118474823 51.525205120709224, -0.0607912110179501 51.528488032494096))",0,False,False,False
88194ad149fffff,25,25,8,0,51.49778511,-0.113876932,531.415,"POLYGON ((-0.1126520884031156 51.50225956858746, -0.1193591262592725 51.50106627305865, -0.1205834895759697 51.4965915617412, -0.115101596407207 51.493310413263046, -0.1083956252177884 51.49450374995465, -0.1071704806419031 51.49897819394648, -0.1126520884031156 51.50225956858746))",0,False,False,False
88194ad365fffff,26,26,8,0,51.53238259,-0.110783572,531.415,"POLYGON ((-0.1095577770878223 51.536855401065246, -0.1162687650417892 51.5356636619506, -0.117494079727152 51.53119060121826, -0.112009188687221 51.52790954673722, -0.105299268710771 51.52910132690273, -0.1040731719084791 51.53357412048326, -0.1095577770878223 51.536855401065246))",0,False,False,False
88194ad345fffff,27,27,8,0,51.53386381,-0.078460659,531.415,"POLYGON ((-0.0772326405477215 51.53833559002005, -0.0839426123995701 51.537145918668216, -0.0851701506250179 51.53267388306964, -0.0796884983356162 51.52939178619079, -0.0729795947027676 51.53058149905776, -0.0717512752521504 51.53505326727331, -0.0772326405477215 51.53833559002005))",0,False,False,False
88194ad369fffff,28,28,8,0,51.53595578,-0.090652692,531.415,"POLYGON ((-0.0894254545697169 51.540427833525314, -0.096136121670239 51.539237486815885, -0.0973628782614289 51.53476518393656, -0.0918797494981939 51.53148349503227, -0.0851701506250179 51.53267388306964, -0.0839426123995701 51.537145918668216, -0.0894254545697169 51.540427833525314))",0,False,False,False
88194ad355fffff,29,29,8,0,51.51626143,-0.057770775,531.415,"POLYGON ((-0.0565417330286851 51.520733396758665, -0.0632488730108005 51.51954431701719, -0.0644774348133139 51.51507210235415, -0.0589996368922343 51.511789235053804, -0.0522935645886553 51.512978356691825, -0.0510642226393848 51.51745030371856, -0.0565417330286851 51.520733396758665))",0,False,False,False
