local_tile,local_tiles,density,local_density
89194ad0173ffff,"{'89194ad0143ffff', '89194ad0167ffff', '89194ad012bffff', '89194ad013bffff', '89194ad010fffff', '89194ad0157ffff', '89194ad0163ffff', '89194ad0177ffff', '89194ad0173ffff', '89194ad017bffff', '89194ad014fffff', '89194ad016fffff', '89194ad016bffff', '89194ad0103ffff', '89194ad03b7ffff', '89194ad010bffff', '89194ad011bffff', '89194ad0147ffff', '89194ad0107ffff'}",4.0,8.0
89194ad0183ffff,"{'89194ad018fffff', '89194ad018bffff', '89194ad2a5bffff', '89194ad01c7ffff', '89194ad056fffff', '89194ad0183ffff', '89194ad0113ffff', '89194ad0197ffff', '89194ad01b3ffff', '89194ad052bffff', '89194ad0193ffff', '89194ad01d7ffff', '89194ad0117ffff', '89194ad019bffff', '89194ad2a4bffff', '89194ad01bbffff', '89194ad0187ffff', '89194ad0567ffff', '89194ad052fffff'}",24.0,52.0
89194ad0187ffff,"{'89194ad018fffff', '89194ad018bffff', '89194ad2a5bffff', '89194ad2a4fffff', '89194ad01abffff', '89194ad0183ffff', '89194ad01b7ffff', '89194ad0113ffff', '89194ad01a3ffff', '89194ad0197ffff', '89194ad01b3ffff', '89194ad0193ffff', '89194ad0117ffff', '89194ad2a43ffff', '89194ad019bffff', '89194ad2a4bffff', '89194ad01bbffff', '89194ad0187ffff', '89194ad052fffff'}",1.0,59.0
89194ad018bffff,"{'89194ad018fffff', '89194ad018bffff', '89194ad01c7ffff', '89194ad056fffff', '89194ad0183ffff', '89194ad0113ffff', '89194ad01c3ffff', '89194ad0197ffff', '89194ad01cfffff', '89194ad0193ffff', '89194ad01d7ffff', '89194ad0117ffff', '89194ad0103ffff', '89194ad019bffff', '89194ad01d3ffff', '89194ad011bffff', '89194ad01bbffff', '89194ad0187ffff', '89194ad0567ffff'}",4.0,46.0
89194ad018fffff,"{'89194ad018fffff', '89194ad018bffff', '89194ad01c7ffff', '89194ad01abffff', '89194ad0183ffff', '89194ad0113ffff', '89194ad01a3ffff', '89194ad0197ffff', '89194ad01b3ffff', '89194ad0193ffff', '89194ad01d7ffff', '89194ad0117ffff', '89194ad0103ffff', '89194ad019bffff', '89194ad011bffff', '89194ad2a4bffff', '89194ad01bbffff', '89194ad0187ffff', '89194ad0107ffff'}",3.0,47.0
89194ad0193ffff,"{'89194ad018fffff', '89194ad018bffff', '89194ad2a5bffff', '89194ad056fffff', '89194ad0577ffff', '89194ad0183ffff', '89194ad0563ffff', '89194ad0527ffff', '89194ad0197ffff', '89194ad052bffff', '89194ad0193ffff', '89194ad01d7ffff', '89194ad019bffff', '89194ad053bffff', '89194ad0523ffff', '89194ad2a4bffff', '89194ad0187ffff', '89194ad0567ffff', '89194ad052fffff'}",4.0,48.0
89194ad0197ffff,"{'89194ad018fffff', '89194ad018bffff', '89194ad2a5bffff', '89194ad2a4fffff', '89194ad0183ffff', '89194ad0527ffff', '89194ad2a53ffff', '89194ad0197ffff', '89194ad01b3ffff', '89194ad052bffff', '89194ad0193ffff', '89194ad2a43ffff', '89194ad019bffff', '89194ad0523ffff', '89194ad2a4bffff', '89194ad01bbffff', '89194ad0187ffff', '89194ad0567ffff', '89194ad052fffff'}",2.0,58.0
89194ad01abffff,"{'89194ad018fffff', '89194ad0137ffff', '89194ad01abffff', '89194ad013bffff', '89194ad0133ffff', '89194ad010fffff', '89194ad01afffff', '89194ad01b7ffff', '89194ad0113ffff', '89194ad0cdbffff', '89194ad01a3ffff', '89194ad01b3ffff', '89194ad0117ffff', '89194ad0103ffff', '89194ad0123ffff', '89194ad01bbffff', '89194ad0187ffff', '89194ad01a7ffff', '89194ad0107ffff'}",2.0,27.0
89194ad01afffff,"{'89194ad2a6bffff', '89194ad0137ffff', '89194ad0cd3ffff', '89194ad01abffff', '89194ad0127ffff', '89194ad013bffff', '89194ad0133ffff', '89194ad0cc3ffff', '89194ad01b7ffff', '89194ad01afffff', '89194ad0cdbffff', '89194ad01a3ffff', '89194ad01b3ffff', '89194ad0117ffff', '89194ad0ccbffff', '89194ad0123ffff', '89194ad01bbffff', '89194ad01a7ffff', '89194ad0107ffff'}",1.0,17.0
89194ad01d3ffff,"{'89194ad00a3ffff', '89194ad0037ffff', '89194ad018bffff', '89194ad01cbffff', '89194ad01c7ffff', '89194ad056fffff', '89194ad057bffff', '89194ad00b7ffff', '89194ad0563ffff', '89194ad01c3ffff', '89194ad056bffff', '89194ad00afffff', '89194ad01cfffff', '89194ad01d7ffff', '89194ad01dbffff', '89194ad00a7ffff', '89194ad019bffff', '89194ad01d3ffff', '89194ad0567ffff'}",1.0,19.0
