cuisineType,venueType,n_type,p_local,p_credible,p_global,competition_factor,local_tile,neighbour_count,representations
Eastern European,Dine-In,1,0.005128205128205128,0.0006023028243160971,0.002437962559860688,1.0,89195da4d73ffff,195,1
European,Dine-In,4,0.020512820512820513,0.006122669463607545,0.005311275576839356,1.1527681768775844,89195da4d73ffff,195,4
Family Restaurant,Dine-In,1,0.005128205128205128,0.0006023028243160971,0.0032215933826730517,1.0,89195da4d73ffff,195,1
Fast Food,Dine-In,13,0.06666666666666667,0.033481908894390344,0.07009142359599478,0.4776890977044386,89195da4d73ffff,195,13
Fast Food,Takeaway,1,0.005128205128205128,0.0006023028243160971,0.01610796691336526,1.0,89195da4d73ffff,195,1
Fine Dining,Dine-In,1,0.005128205128205128,0.0006023028243160971,0.007662168045276448,1.0,89195da4d73ffff,195,1
French,Dine-In,2,0.010256410256410256,0.0020048647121421012,0.013931214627775359,1.0,89195da4d73ffff,195,2
Halal,Dine-In,1,0.005128205128205128,0.0006023028243160971,0.0043535045711798,1.0,89195da4d73ffff,195,1
Italian,Dine-In,11,0.05641025641025641,0.026682191694084773,0.06060078363082281,0.4402944994347179,89195da4d73ffff,195,11
Japanese,Dine-In,19,0.09743589743589744,0.05527958674085701,0.055811928602525034,0.9904618622757297,89195da4d73ffff,195,19
Japanese,Takeaway,1,0.005128205128205128,0.0006023028243160971,0.008619939050936004,1.0,89195da4d73ffff,195,1
Kebab Shop,Dine-In,1,0.005128205128205128,0.0006023028243160971,0.01828471919895516,1.0,89195da4d73ffff,195,1
Korean,Dine-In,1,0.005128205128205128,0.0006023028243160971,0.015150195907705702,1.0,89195da4d73ffff,195,1
Latin American,Dine-In,8,0.041025641025641026,0.017105951969861147,0.05729212015672616,0.29857425284780437,89195da4d73ffff,195,8
Mediterranean,Dine-In,6,0.03076923076923077,0.01128423433022172,0.026121027427078797,0.43199810427532154,89195da4d73ffff,195,6
Middle Eastern,Dine-In,15,0.07692307692307693,0.040540911862522476,0.06408358728776666,0.632625506441672,89195da4d73ffff,195,15
