tile_id,seed_index,tile_path_id,h3_res,level,center_lat,center_lon,tile_size_m,geometry,children,checked,fetch_success,current
881973272bfffff,40,40,8,0,54.90518557124857,-1.6230283207263103,531.415,"POLYGON ((-1.6218351898777672 54.909533525071886, -1.6290276617012018 54.90838136511232, -1.6302202320901202 54.90403316015407, -1.6242212635928466 54.900837351671065, -1.6170299873424767 54.90198951133991, -1.615836484146718 54.9063374797616, -1.6218351898777672 54.909533525071886))",0,True,True,False
8819732755fffff,41,41,8,0,54.912089484959935,-1.5798784309026943,531.415,"POLYGON ((-1.5786819383340844 54.91643593136083, -1.5858739577738736 54.9152867864841, -1.587069890179591 54.91094008877325, -1.581074735003175 54.90774277275494, -1.5738839118953398 54.90889191792355, -1.5726870477625545 54.91323837879779, -1.5786819383340844 54.91643593136083))",0,True,True,False
8819732727fffff,42,42,8,0,54.90172683006598,-1.6446042782686086,531.415,"POLYGON ((-1.6434128289466596 54.90607553720645, -1.6506055239176156 54.90492186918289, -1.651796412632289 54.90057291099518, -1.6457955398518958 54.897377857196304, -1.638604040072982 54.898531524637875, -1.6374122180127193 54.9028802464394, -1.6434128289466596 54.90607553720645))",0,True,True,False
8819732759fffff,43,43,8,0,54.91553465958263,-1.55830451079394,531.415,"POLYGON ((-1.5571063380346146 54.919880351879115, -1.5642981282390422 54.91873271401942, -1.5654957409845178 54.91438677032571, -1.5595024948423126 54.91118870145721, -1.552311901347693 54.9123363399001, -1.551113357416171 54.91668204660752, -1.5571063380346146 54.919880351879115))",0,True,True,False
8819732093fffff,44,44,8,0,54.898263564607255,-1.666180902780945,531.415,"POLYGON ((-1.664991135428134 54.90261302480162, -1.6721840515165365 54.90145784836689, -1.6733732581148903 54.89710813721312, -1.6673704826386577 54.89391383870868, -1.6601787613601984 54.89506901427025, -1.6589886208782316 54.89941848918846, -1.664991135428134 54.90261302480162))",0,True,True,False
88197334a7fffff,45,45,8,0,54.92584306713885,-1.493586922690623,531.415,"POLYGON ((-1.492383712053258 54.93018649555406, -1.499574802382095 54.92904337663737, -1.5007774534555387 54.92469969656388, -1.4947899438897452 54.921499372820236, -1.4876000513979757 54.92264249319426, -1.4863964707658897 54.92698593583391, -1.492383712053258 54.93018649555406))",0,True,True,False
88197334abfffff,46,46,8,0,54.9292701677414,-1.47201580433775,531.415,"POLYGON ((-1.4708109153103486 54.93361284100823, -1.4780017682921602 54.93247122770018, -1.4792060979065416 54.92812830268829, -1.473220503684868 54.92492722854641, -1.4660308489137814 54.92606884360319, -1.4648255902846965 54.93041153103249, -1.4708109153103486 54.93361284100823))",0,True,True,False
8819733481fffff,47,47,8,0,54.93269275248637,-1.4504454016263035,531.415,"POLYGON ((-1.4492388346624756 54.93703467034492, -1.456429448270321 54.935894562291196, -1.457635455972502 54.931552392601006, -1.4516517786679404 54.92835056867504, -1.4444623636433807 54.92949067876894, -1.4432554274712328 54.93383261072802, -1.4492388346624756 54.93703467034492))",0,True,True,False
88197334d5fffff,48,48,8,0,54.936110822438174,-1.4288757206348268,531.415,"POLYGON ((-1.4276674761896073 54.94045198462885, -1.4348578483969892 54.939313381474236, -1.43606553373236 54.93497196736545, -1.4300837749161877 54.93176939427002, -1.4228946016636261 54.932907999756246, -1.4216859884036583 54.93724917598573, -1.4276674761896073 54.94045198462885))",0,True,True,False
88197334d9fffff,49,49,8,0,54.93952437866373,-1.407306767440644,531.415,"POLYGON ((-1.406096845970425 54.94386478492743, -1.413286974751236 54.94272768631584, -1.4144963372639134 54.9383870280477, -1.4085164985055099 54.935183706397986, -1.4013275690499725 54.93632080763266, -1.4001172791588905 54.94066122787346, -1.406096845970425 54.94386478492743))",0,True,True,False
881946cb6dfffff,50,50,8,0,54.94293342223273,-1.385738548119891,531.415,"POLYGON ((-1.3845269500824555 54.94727307231071, -1.391716833410983 54.94613747788516, -1.392927872643632 54.941797575716556, -1.3869499555106721 54.93859350612811, -1.3797612718768013 54.939729103468245, -1.3785493058126357 54.94406876746176, -1.3845269500824555 54.94727307231071))",0,True,True,False
8819732705fffff,51,51,8,0,54.91068518242076,-1.6146427928878966,531.415,"POLYGON ((-1.6134489135225543 54.915032619285974, -1.6206418710038109 54.91388121310954, -1.6218351898777672 54.909533525071886, -1.615836484146718 54.9063374797616, -1.6086447225768377 54.90748888573184, -1.607450470957072 54.911836337197684, -1.6134489135225543 54.915032619285974))",0,True,True,False
8819732709fffff,52,52,8,0,54.91413713919056,-1.5930660531745984,531.415,"POLYGON ((-1.5918704926317049 54.918483822363314, -1.5990632241109692 54.91733392387407, -1.600258224310822 54.91298698944132, -1.5942614253678407 54.90979019019889, -1.587069890179591 54.91094008877325, -1.5858739577738736 54.9152867864841, -1.5918704926317049 54.918483822363314))",0,True,True,False
