local_tile,local_tiles,density,local_density
891973203a3ffff,"{'89197320317ffff', '89197320ed3ffff', '8919732014bffff', '891973203afffff', '8919732014fffff', '89197320edbffff', '89197320337ffff', '8919732017bffff', '89197320333ffff', '891973203bbffff', '89197320307ffff', '8919732016bffff', '891973203a7ffff', '891973203abffff', '891973203b3ffff', '8919732038fffff', '89197320387ffff', '891973203a3ffff', '891973203b7ffff'}",7.0,15.0
891973203afffff,"{'89197320317ffff', '89197320ed3ffff', '891973203afffff', '89197320ecbffff', '89197320edbffff', '89197320337ffff', '891973203bbffff', '89197320333ffff', '8919732016bffff', '89197320307ffff', '891973203a7ffff', '89197320327ffff', '891973203abffff', '891973203b3ffff', '89197320323ffff', '8919732033bffff', '89197320ec3ffff', '891973203a3ffff', '891973203b7ffff'}",4.0,12.0
891973203b7ffff,"{'89197320ed3ffff', '8919732014bffff', '891973203afffff', '89197320173ffff', '8919732014fffff', '89197320143ffff', '89197320edbffff', '891973203bbffff', '8919732017bffff', '8919732016bffff', '891973203abffff', '891973203a7ffff', '891973203b3ffff', '89197320163ffff', '8919732016fffff', '89197320147ffff', '89197320387ffff', '891973203a3ffff', '891973203b7ffff'}",1.0,19.0
891973203dbffff,"{'89197320233ffff', '891973202a7ffff', '891973202b7ffff', '891973203dbffff', '8919732006fffff', '891973202afffff', '891973202abffff', '891973203cfffff', '89197320237ffff', '89197320353ffff', '891973203c7ffff', '891973202a3ffff', '89197320227ffff', '891973203c3ffff', '89197320223ffff', '891973203d3ffff', '891973203d7ffff', '891973203cbffff', '8919732006bffff'}",1.0,4.0
89197320403ffff,"{'89197320473ffff', '89197320413ffff', '8919732041bffff', '8919732040bffff', '89197320403ffff', '8919732048bffff', '89197320457ffff', '8919732048fffff', '891973204abffff', '89197320407ffff', '891973204c7ffff', '89197320477ffff', '891973204cfffff', '8919732040fffff', '89197320417ffff', '89197320447ffff', '8919732043bffff', '89197320433ffff', '891973204bbffff'}",3.0,6.0
89197320407ffff,"{'891973204a3ffff', '89197320473ffff', '89197320413ffff', '8919732041bffff', '8919732040bffff', '89197320403ffff', '8919732048fffff', '89197320437ffff', '891973204abffff', '89197320407ffff', '89197320477ffff', '89197320423ffff', '8919732040fffff', '8919732042bffff', '89197320417ffff', '8919732043bffff', '891973204afffff', '89197320433ffff', '891973204bbffff'}",1.0,8.0
89197320417ffff,"{'891973204a3ffff', '89197320413ffff', '8919732041bffff', '8919732040bffff', '89197320483ffff', '89197320403ffff', '8919732048bffff', '8919732048fffff', '891973204b3ffff', '891973204abffff', '89197320407ffff', '891973204c7ffff', '8919732040fffff', '89197320417ffff', '8919732043bffff', '89197320487ffff', '891973204afffff', '89197320433ffff', '891973204bbffff'}",1.0,8.0
89197320433ffff,"{'891973204a3ffff', '891973205dbffff', '891973205cbffff', '89197320403ffff', '89197320437ffff', '891973204abffff', '89197320407ffff', '89197320477ffff', '89197320423ffff', '89197320427ffff', '8919732040fffff', '8919732042bffff', '89197320417ffff', '8919732043bffff', '8919732042fffff', '891973204a7ffff', '891973204afffff', '89197320433ffff', '891973204bbffff'}",1.0,12.0
8919732044fffff,"{'891973206a3ffff', '89197320473ffff', '8919732040bffff', '89197320687ffff', '891973206bbffff', '8919732047bffff', '8919732045bffff', '89197320697ffff', '89197320453ffff', '89197320457ffff', '8919732044bffff', '8919732044fffff', '891973206b7ffff', '891973206b3ffff', '89197320443ffff', '89197320447ffff', '891973206a7ffff', '89197320463ffff', '8919732046bffff'}",1.0,5.0
8919732047bffff,"{'891973206a3ffff', '89197320473ffff', '8919732040bffff', '8919732046fffff', '8919732047bffff', '891973200d3ffff', '89197320457ffff', '8919732044bffff', '8919732044fffff', '891973206b7ffff', '891973206b3ffff', '89197320477ffff', '89197320467ffff', '89197320443ffff', '8919732040fffff', '89197320447ffff', '89197320463ffff', '891973206a7ffff', '8919732046bffff'}",1.0,5.0
89197320497ffff,"{'89197322353ffff', '89197320493ffff', '8919732222fffff', '89197322223ffff', '89197320497ffff', '8919732235bffff', '89197320483ffff', '89197322343ffff', '8919732048bffff', '8919732048fffff', '891973204b3ffff', '89197322267ffff', '8919732234fffff', '8919732222bffff', '8919732234bffff', '89197322227ffff', '8919732049bffff', '89197320487ffff', '891973204bbffff'}",3.0,16.0
891973204a3ffff,"{'891973204a3ffff', '891973205dbffff', '891973204b7ffff', '8919732048fffff', '891973204b3ffff', '89197320437ffff', '891973204abffff', '89197320407ffff', '8919732234fffff', '89197320417ffff', '8919732234bffff', '8919732236bffff', '89197320487ffff', '891973205d3ffff', '891973204a7ffff', '891973204afffff', '89197320433ffff', '8919732237bffff', '891973204bbffff'}",2.0,10.0
891973204a7ffff,"{'891973204a3ffff', '891973205dbffff', '891973205cbffff', '891973204b7ffff', '8919732236fffff', '891973205d7ffff', '891973204b3ffff', '89197320437ffff', '891973204abffff', '89197322363ffff', '8919732234fffff', '891973205c3ffff', '8919732236bffff', '891973205d3ffff', '891973204a7ffff', '891973204afffff', '89197320433ffff', '8919732237bffff', '891973204bbffff'}",1.0,8.0
891973204b7ffff,"{'891973204a3ffff', '891973205dbffff', '891973204b7ffff', '89197322343ffff', '8919732236fffff', '891973204b3ffff', '891973204abffff', '89197322347ffff', '89197322363ffff', '8919732234fffff', '891973205d3ffff', '8919732234bffff', '8919732236bffff', '89197320487ffff', '89197322373ffff', '891973204a7ffff', '891973204afffff', '8919732237bffff', '891973204bbffff'}",1.0,7.0
89197320513ffff,"{'8919732058fffff', '8919732050fffff', '891973205c7ffff', '8919732051bffff', '891973205cfffff', '89197320587ffff', '89197320513ffff', '891973205d7ffff', '8919732059bffff', '89197320503ffff', '891973205abffff', '89197320507ffff', '89197320583ffff', '8919732058bffff', '891973205c3ffff', '8919732050bffff', '89197320517ffff', '891973205bbffff', '89197320557ffff'}",4.0,14.0
89197320523ffff,"{'8919732053bffff', '8919732050fffff', '89197320567ffff', '8919732052fffff', '89197320537ffff', '8919732052bffff', '89197322adbffff', '89197320527ffff', '89197320533ffff', '891973205abffff', '89197320577ffff', '89197320507ffff', '89197320193ffff', '89197322a5bffff', '89197320197ffff', '89197320523ffff', '89197322acbffff', '891973205afffff', '89197322a53ffff'}",1.0,6.0
8919732052bffff,"{'89197320573ffff', '8919732053bffff', '89197320567ffff', '8919732050fffff', '8919732052fffff', '89197320537ffff', '8919732052bffff', '89197320527ffff', '89197320533ffff', '8919732019bffff', '89197320577ffff', '89197320507ffff', '89197320193ffff', '89197320563ffff', '89197322a5bffff', '89197320523ffff', '89197320183ffff', '8919732056fffff', '89197320197ffff'}",1.0,4.0
8919732054fffff,"{'8919732054fffff', '89197320573ffff', '8919732054bffff', '8919732057bffff', '891973200a3ffff', '8919732055bffff', '891973200b7ffff', '89197320553ffff', '891973200b3ffff', '89197320087ffff', '89197320563ffff', '8919732050bffff', '8919732056bffff', '891973200a7ffff', '891973200bbffff', '89197320557ffff', '89197320547ffff', '89197320097ffff', '89197320543ffff'}",1.0,7.0
89197320557ffff,"{'8919732054fffff', '89197320573ffff', '89197320557ffff', '891973205cbffff', '8919732054bffff', '8919732050fffff', '8919732057bffff', '891973205c7ffff', '8919732051bffff', '891973205cfffff', '8919732055bffff', '89197320513ffff', '89197320553ffff', '89197320427ffff', '891973205c3ffff', '8919732050bffff', '89197320503ffff', '89197320547ffff', '89197320543ffff'}",1.0,6.0
89197320577ffff,"{'89197320573ffff', '8919732053bffff', '89197320567ffff', '8919732050fffff', '8919732057bffff', '8919732052fffff', '8919732052bffff', '89197320533ffff', '8919732019bffff', '89197320577ffff', '89197320507ffff', '89197320193ffff', '89197320563ffff', '89197320523ffff', '8919732050bffff', '8919732056bffff', '8919732056fffff', '89197320503ffff', '89197320547ffff'}",1.0,4.0
89197320583ffff,"{'8919732232bffff', '8919732058fffff', '89197320593ffff', '89197322e5bffff', '891973205c7ffff', '89197322e4bffff', '89197320587ffff', '89197320513ffff', '8919732236fffff', '891973205d7ffff', '8919732059bffff', '891973205b3ffff', '89197320583ffff', '8919732058bffff', '89197320597ffff', '89197322367ffff', '89197320517ffff', '891973205bbffff', '8919732232fffff'}",3.0,11.0
8919732058bffff,"{'8919732058fffff', '89197320593ffff', '891973205c7ffff', '8919732051bffff', '891973205cfffff', '89197320587ffff', '89197320513ffff', '8919732236fffff', '891973205d7ffff', '8919732059bffff', '89197320583ffff', '891973205c3ffff', '89197320597ffff', '8919732058bffff', '89197322367ffff', '89197320517ffff', '891973205bbffff', '89197320503ffff', '891973205d3ffff'}",1.0,11.0
8919732058fffff,"{'891973205a3ffff', '8919732058fffff', '89197320593ffff', '891973205c7ffff', '8919732051bffff', '89197322e4bffff', '89197320587ffff', '89197320513ffff', '891973205d7ffff', '8919732059bffff', '891973205abffff', '891973205b3ffff', '89197320507ffff', '89197320583ffff', '8919732058bffff', '89197320597ffff', '89197320517ffff', '891973205bbffff', '89197320503ffff'}",2.0,13.0
8919732059bffff,"{'8919732232bffff', '8919732058fffff', '89197320593ffff', '891973205c7ffff', '89197322377ffff', '89197320587ffff', '89197320513ffff', '8919732236fffff', '891973205d7ffff', '8919732059bffff', '89197322363ffff', '89197320583ffff', '8919732058bffff', '891973205c3ffff', '89197320597ffff', '89197322367ffff', '8919732236bffff', '891973205d3ffff', '8919732232fffff'}",1.0,11.0
891973205abffff,"{'891973205a3ffff', '8919732053bffff', '8919732058fffff', '8919732050fffff', '891973205b7ffff', '89197320537ffff', '891973205a7ffff', '89197322adbffff', '89197320587ffff', '89197320513ffff', '89197320533ffff', '891973205abffff', '891973205b3ffff', '89197320507ffff', '89197320523ffff', '89197320517ffff', '891973205bbffff', '89197320503ffff', '891973205afffff'}",2.0,10.0
891973205afffff,"{'89197322ac3ffff', '891973205a3ffff', '8919732053bffff', '891973205b7ffff', '89197320537ffff', '891973205a7ffff', '89197322adbffff', '89197320527ffff', '89197320533ffff', '891973205abffff', '891973205b3ffff', '89197322ad3ffff', '89197320507ffff', '89197320523ffff', '89197322acbffff', '89197320517ffff', '891973205bbffff', '891973205afffff', '89197322e6bffff'}",1.0,4.0
891973205dbffff,"{'891973204a3ffff', '891973205cbffff', '891973204b7ffff', '891973205c7ffff', '891973205cfffff', '8919732236fffff', '89197320553ffff', '891973205d7ffff', '89197320437ffff', '891973204abffff', '89197320423ffff', '89197320427ffff', '891973205c3ffff', '8919732236bffff', '891973205d3ffff', '891973204a7ffff', '891973204afffff', '89197320433ffff', '891973205dbffff'}",3.0,8.0
89197320603ffff,"{'891973206abffff', '89197320603ffff', '891973206bbffff', '891973206cfffff', '8919732068fffff', '89197320673ffff', '89197320657ffff', '8919732060fffff', '8919732068bffff', '8919732061bffff', '89197320633ffff', '8919732060bffff', '8919732063bffff', '89197320677ffff', '891973206c7ffff', '89197320613ffff', '89197320617ffff', '89197320607ffff', '89197320647ffff'}",2.0,6.0
8919732061bffff,"{'891973206cbffff', '89197320603ffff', '89197320653ffff', '891973206cfffff', '89197320643ffff', '8919732068fffff', '89197320673ffff', '89197320657ffff', '8919732060fffff', '8919732068bffff', '8919732061bffff', '8919732060bffff', '891973206c3ffff', '891973206c7ffff', '89197320613ffff', '89197320617ffff', '89197320607ffff', '89197320647ffff', '891973206d7ffff'}",2.0,8.0
89197320627ffff,"{'89197320637ffff', '89197320293ffff', '89197320297ffff', '891973200cbffff', '891973200cfffff', '89197320633ffff', '8919732062bffff', '8919732063bffff', '891973206afffff', '8919732062fffff', '89197320627ffff', '891973200dbffff', '89197320053ffff', '8919732004bffff', '891973200c3ffff', '89197320043ffff', '89197320623ffff', '8919732005bffff', '89197320057ffff'}",3.0,7.0
89197320657ffff,"{'891973206cbffff', '89197323327ffff', '8919732064bffff', '89197320603ffff', '89197320653ffff', '8919732065bffff', '891973206cfffff', '89197320643ffff', '89197320673ffff', '89197320657ffff', '8919732067bffff', '8919732060fffff', '8919732061bffff', '8919732060bffff', '891973206c3ffff', '891973206c7ffff', '89197320613ffff', '89197320647ffff', '8919732064fffff'}",2.0,7.0
891973206b3ffff,"{'891973206a3ffff', '891973206abffff', '89197320687ffff', '891973206bbffff', '8919732047bffff', '89197320697ffff', '8919732045bffff', '8919732068fffff', '89197320683ffff', '8919732044bffff', '8919732044fffff', '891973206b7ffff', '891973206b3ffff', '89197320443ffff', '891973206afffff', '89197320617ffff', '89197320447ffff', '891973206a7ffff', '8919732046bffff'}",2.0,5.0
891973206b7ffff,"{'891973206a3ffff', '89197320473ffff', '891973206abffff', '89197320687ffff', '891973206bbffff', '8919732046fffff', '8919732047bffff', '891973200d3ffff', '8919732044bffff', '8919732044fffff', '891973206b7ffff', '891973206b3ffff', '89197320443ffff', '891973206afffff', '89197320447ffff', '891973206a7ffff', '89197320463ffff', '8919732046bffff', '891973200dbffff'}",1.0,5.0
891973206c3ffff,"{'891973206cbffff', '89197323327ffff', '8919732069bffff', '89197320653ffff', '891973206dbffff', '891973206cfffff', '891973233a7ffff', '89197320657ffff', '8919732316fffff', '8919732068bffff', '89197323337ffff', '8919732061bffff', '891973206c3ffff', '891973206d3ffff', '891973233afffff', '891973206c7ffff', '89197320613ffff', '8919732316bffff', '891973206d7ffff'}",1.0,6.0
891973206d7ffff,"{'891973206cbffff', '89197323167ffff', '8919732069bffff', '891973206dbffff', '891973206cfffff', '8919732068fffff', '891973233a7ffff', '8919732316fffff', '89197320683ffff', '8919732068bffff', '89197323163ffff', '8919732061bffff', '891973206c3ffff', '891973206d3ffff', '891973206c7ffff', '89197320613ffff', '8919732316bffff', '89197320693ffff', '891973206d7ffff'}",1.0,4.0
8919732081bffff,"{'891973208c3ffff', '89197320857ffff', '89197320847ffff', '891973208d7ffff', '89197320803ffff', '8919732088bffff', '8919732080bffff', '891973208cfffff', '8919732088fffff', '89197320813ffff', '89197320873ffff', '89197320807ffff', '89197320843ffff', '8919732080fffff', '89197320853ffff', '89197320817ffff', '891973208c7ffff', '891973208cbffff', '8919732081bffff'}",1.0,1.0
891973208b7ffff,"{'89197320d4bffff', '891973209dbffff', '89197320d47ffff', '891973208bbffff', '891973208abffff', '89197320d7bffff', '891973208b3ffff', '891973208a7ffff', '891973208afffff', '89197320d43ffff', '89197320d63ffff', '89197320887ffff', '89197320d4fffff', '891973208b7ffff', '89197320d6bffff', '891973209d3ffff', '89197320d73ffff', '89197320d6fffff', '891973208a3ffff'}",2.0,4.0
89197320963ffff,"{'891973256d3ffff', '891973256d7ffff', '8919732090fffff', '89197320947ffff', '89197325693ffff', '8919732569bffff', '8919732094fffff', '89197320977ffff', '8919732092bffff', '89197320973ffff', '89197320bb7ffff', '8919732096bffff', '89197320967ffff', '8919732093bffff', '89197320963ffff', '89197320ba7ffff', '8919732096fffff', '8919732090bffff', '8919732097bffff'}",2.0,2.0
89197320a47ffff,"{'89197320a53ffff', '89197320a57ffff', '89197320a77ffff', '89197320a0fffff', '89197320a7bffff', '89197320a43ffff', '89197320a73ffff', '89197320a0bffff', '89197320a1bffff', '89197320a63ffff', '89197320a4fffff', '89197320a47ffff', '891973219b7ffff', '891973219b3ffff', '89197320a03ffff', '89197320acfffff', '89197320a6bffff', '89197320a5bffff', '89197320a4bffff'}",1.0,4.0
89197320a4fffff,"{'89197320a53ffff', '89197320a57ffff', '89197321987ffff', '89197320a7bffff', '89197320a43ffff', '89197320a73ffff', '89197320a0bffff', '89197320a63ffff', '89197320a4fffff', '89197320a47ffff', '891973219a7ffff', '891973219b7ffff', '891973219a3ffff', '891973219b3ffff', '891973219bbffff', '89197320a4bffff', '89197320a6bffff', '89197320a5bffff', '89197321997ffff'}",1.0,4.0
